date,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-02-14,0 ,82500.0,48751.0,37966.0,34773.0,18235.0,13178.0,46073.0,66841.0,8837.0,10968.0,19168.0,34652.0,41079.0,53988.0,24454.0,29937.0,35097.0,36405.0,15897.0,19090.0,42031.0,46125.0,35003.0,21778.0,83729.0,71888.0,490069.0,488374.0,,,,,
2017-02-15,0 ,79629.0,47532.0,37967.0,35486.0,18012.0,13290.0,43959.0,65033.0,9007.0,11564.0,18981.0,34454.0,41276.0,53500.0,24492.0,30299.0,34544.0,36227.0,15848.0,19018.0,41842.0,44528.0,35523.0,21919.0,84059.0,70843.0,485139.0,483693.0,,,,,
2017-02-16,1 ,79479.0,46956.0,38177.0,35923.0,18207.0,13379.0,44181.0,63915.0,9028.0,11764.0,18511.0,34289.0,40990.0,53902.0,24305.0,30342.0,35091.0,36290.0,15761.0,19019.0,41851.0,44872.0,34627.0,21765.0,82698.0,69049.0,482906.0,481465.0,8:25 PM,Train unloaded passengers at Shaw Blvd. Station SB AT 8:25PM due to technical problem.,South Bound,Shaw Boulevard,CAT 3
2017-02-17,0 ,81579.0,49055.0,38664.0,35620.0,18570.0,13656.0,46475.0,69195.0,9553.0,12312.0,19556.0,35945.0,41975.0,55385.0,24797.0,30043.0,35766.0,36367.0,15989.0,19304.0,43582.0,46449.0,37294.0,21801.0,86095.0,73302.0,499895.0,498434.0,,,,,
2017-02-18,19 ,55726.0,39488.0,24707.0,24186.0,11022.0,9003.0,38257.0,56471.0,4885.0,6620.0,10147.0,20455.0,30780.0,38826.0,17345.0,17840.0,28763.0,26670.0,8742.0,8344.0,29152.0,29130.0,24602.0,12077.0,61921.0,55682.0,346049.0,344792.0,4:28 PM,Train unloaded passengers at Cubao Station SB at 4:28PM due to technical problem.,South Bound,Cubao,CAT 3
2017-02-19,1 ,39776.0,24398.0,14372.0,12377.0,7682.0,5030.0,28732.0,34041.0,2700.0,3881.0,5552.0,12251.0,19051.0,24499.0,10104.0,11781.0,19345.0,20074.0,2905.0,4088.0,17118.0,20831.0,10175.0,6993.0,41673.0,38263.0,219185.0,218507.0,7:15 AM,"Train experienced technical problem, unloaded passengers at Kamuning Station NB 07:18 am.",North Bound,Cubao - GMA Kamuning,CAT 3
2017-02-20,0 ,79574.0,43220.0,37272.0,33204.0,19032.0,12548.0,42286.0,58768.0,8646.0,11244.0,17187.0,32540.0,37971.0,52063.0,21775.0,29640.0,32796.0,36261.0,14064.0,18744.0,36726.0,43507.0,31863.0,21736.0,81559.0,66151.0,460751.0,459626.0,7:01 AM,"Train experienced technical problem, unloaded passengers at Cubao Station SB 07:04 am.",South Bound,GMA Kamuning - Cubao,CAT 3
2017-02-21,0 ,77880.0,45042.0,37272.0,34565.0,18073.0,12922.0,43232.0,61358.0,8815.0,11342.0,17921.0,33424.0,39272.0,52411.0,23584.0,30086.0,33531.0,35906.0,15743.0,19177.0,40949.0,43758.0,33427.0,21466.0,81243.0,68392.0,470942.0,469849.0,2:58 PM,Train unloaded passengers at Buendia NB at 2:58 PM due to technical problem.,North Bound,Buendia,CAT 2
2017-02-22,0 ,75682.0,45831.0,37178.0,35078.0,17284.0,12818.0,43219.0,62121.0,9093.0,11537.0,18535.0,33162.0,39866.0,52148.0,23937.0,30243.0,34255.0,35622.0,15681.0,18691.0,40782.0,43291.0,34161.0,21224.0,82374.0,68956.0,472047.0,470722.0,6:58 PM,Train unloaded passengers at Cubao Station SB at 6:58 PM due to technical problem.,South Bound,Cubao,CAT 2
2017-02-23,0 ,79057.0,46289.0,38594.0,35191.0,18830.0,13321.0,44832.0,63938.0,9528.0,11722.0,19604.0,34231.0,40339.0,53302.0,24309.0,30273.0,34642.0,36525.0,15968.0,19300.0,42040.0,44733.0,33934.0,22194.0,80397.0,69813.0,482074.0,480832.0,,,,,
2017-02-24,0 ,81969.0,48429.0,39104.0,35031.0,19310.0,13593.0,46279.0,68658.0,10004.0,11837.0,19856.0,35334.0,40519.0,54567.0,24657.0,29292.0,35592.0,35940.0,16189.0,19398.0,41524.0,46309.0,36927.0,21832.0,82794.0,73193.0,494724.0,493413.0,6:34 AM,Normal operation resumes at 6:34 am from North Ave. Station to Taft Ave Station.,South Bound,Ayala Avenue - Magallanes,CAT 1
