date,holiday,holiday_reason,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-02-17,,,0,81579,49055,38664,35620,18570,13656,46475,69195,9553,12312,19556,35945,41975,55385,24797,30043,35766,36367,15989,19304,43582,46449,37294,21801,86095,73302,499895,498434,,,,,
2017-02-18,,,19,55726,39488,24707,24186,11022,9003,38257,56471,4885,6620,10147,20455,30780,38826,17345,17840,28763,26670,8742,8344,29152,29130,24602,12077,61921,55682,346049,344792,4:28 PM,Train unloaded passengers at Cubao Station SB at 4:28PM due to technical problem.,South Bound,Cubao,CAT 3
2017-02-19,,,1,39776,24398,14372,12377,7682,5030,28732,34041,2700,3881,5552,12251,19051,24499,10104,11781,19345,20074,2905,4088,17118,20831,10175,6993,41673,38263,219185,218507,7:15 AM,"Train experienced technical problem, unloaded passengers at Kamuning Station NB 07:18 am.",North Bound,Cubao - GMA Kamuning,CAT 3
2017-02-20,,,0,79574,43220,37272,33204,19032,12548,42286,58768,8646,11244,17187,32540,37971,52063,21775,29640,32796,36261,14064,18744,36726,43507,31863,21736,81559,66151,460751,459626,7:01 AM,"Train experienced technical problem, unloaded passengers at Cubao Station SB 07:04 am.",South Bound,GMA Kamuning - Cubao,CAT 3
2017-02-21,,,0,77880,45042,37272,34565,18073,12922,43232,61358,8815,11342,17921,33424,39272,52411,23584,30086,33531,35906,15743,19177,40949,43758,33427,21466,81243,68392,470942,469849,2:58 PM,Train unloaded passengers at Buendia NB at 2:58 PM due to technical problem.,North Bound,Buendia,CAT 2
2017-02-22,,,0,75682,45831,37178,35078,17284,12818,43219,62121,9093,11537,18535,33162,39866,52148,23937,30243,34255,35622,15681,18691,40782,43291,34161,21224,82374,68956,472047,470722,6:58 PM,Train unloaded passengers at Cubao Station SB at 6:58 PM due to technical problem.,South Bound,Cubao,CAT 2
2017-02-23,,,0,79057,46289,38594,35191,18830,13321,44832,63938,9528,11722,19604,34231,40339,53302,24309,30273,34642,36525,15968,19300,42040,44733,33934,22194,80397,69813,482074,480832,,,,,
2017-02-24,,,0,81969,48429,39104,35031,19310,13593,46279,68658,10004,11837,19856,35334,40519,54567,24657,29292,35592,35940,16189,19398,41524,46309,36927,21832,82794,73193,494724,493413,6:34 AM,Normal operation resumes at 6:34 am from North Ave. Station to Taft Ave Station.,South Bound,Ayala Avenue - Magallanes,CAT 1
2017-02-25,1,EDSA Revolution Anniversary,0,49936,35369,22433,20831,9950,8158,36204,50890,4765,6510,9291,18352,27509,33400,15019,14949,26622,24232,6020,6684,24996,25689,19763,10419,57964,53746,310472,309229,6:03 AM,Service interruption due to tracks problem at Ayala to Magallanes SB as of 6:03 AM.,South Bound,Ayala Avenue - Magallanes,CAT 4
2017-02-26,,,0,38220,22932,14034,12010,7384,4512,27849,33361,2642,3772,5342,11783,18208,23039,9787,11796,18418,19306,2605,4061,15481,19085,9868,6880,41230,37806,211068,210343,10:33 PM,Train unloaded passengers at Magallanes Station NB 10:33pm due to technical problem.,North Bound,Magallanes,CAT 3
2017-02-27,,,0,75475,39200,32882,27818,16846,11014,39203,51951,7747,10067,15507,29992,33362,46492,19753,26592,26467,30245,12229,17596,36235,42310,27649,19686,70605,60046,413960,413009,,,,,
2017-02-28,,,0,76649,46755,35412,35084,17358,13321,42018,61487,9397,11231,18620,31826,41372,51820,23723,29777,33743,35637,16295,18327,41920,42584,34552,20985,77253,68186,468312,467020,,,,,
2017-03-01,,,0,79134,47228,37381,35226,17818,13345,44430,65698,9153,11552,18854,33896,41536,53894,24834,31045,35346,36428,16194,19130,42627,44074,34468,21546,87302,74690,489077,487752,9:17 AM,Train unloaded passengers at Cubao Station SB at 9:17 AM due to technical problem.,South Bound,Cubao,CAT 3
2017-03-02,,,1,78118,44849,37003,34676,17299,12857,43712,62198,8769,11491,18056,33937,39819,52569,23813,30116,33950,35283,15954,19001,41267,43800,34167,21362,80273,68972,472200,471111,,,,,
2017-03-03,,,0,80697,48333,38147,35132,18077,13400,46340,70229,9352,11774,19450,35593,41682,55133,24523,29929,35458,36203,16405,19376,42361,45357,37957,21778,85346,72113,495795,494350,,,,,
2017-03-04,,,2,54411,38019,24034,23019,10755,9278,38053,53969,5031,6798,9992,19886,30376,38193,16907,17550,29878,26562,8627,8503,27587,27553,23120,12104,60528,56845,339299,338279,,,,,
2017-03-05,,,0,38764,23501,14119,12283,7698,4911,28278,34263,2745,3899,5284,11471,19003,24120,10192,11903,19524,20058,2827,3946,16172,19566,10334,7106,42872,40126,217812,217153,12:31 PM,Train unloaded passengers at Cub Stn NB 12:31pm due to technical problem.,North Bound,Cubao,CAT 2
2017-03-06,,,0,80666,43085,37480,33044,19472,12473,43282,59006,8633,11453,16942,32841,38203,52638,21636,29808,32849,36611,14293,19218,36619,43896,31962,22120,82158,66957,464195,463150,4:47 PM,Signaling problem occurred at both bounds.,South Bound,Quezon Avenue - Santolan Anapolis,CAT 1
2017-03-07,,,0,77957,45415,37076,34520,17653,12792,42622,61655,8845,11135,17900,32847,39545,52746,23741,30349,33495,35641,16086,19127,40774,43239,33551,21192,80179,67613,469424,468271,3:17 PM,Train unloaded passengers due to technical problem.,North Bound,Ortigas,CAT 3
2017-03-08,,,0,67013,38094,30923,28416,15012,11289,38403,53086,7048,9305,14665,27725,33729,44961,19802,25722,29401,30532,13242,15980,34596,37958,28541,17861,69108,59215,401483,400144,,,,,
